path,error
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\LOCKFILE,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\02RBHREV\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\03BBHRIX\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\03BBHRKT\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\03RBHRAZ\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\03RBHRCT\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\03RBHRMD\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\0DTN1NJL\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\1PEH4NAX\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\2BWHDEKH\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\3J4H22EB\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\42EBZG4U\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\42UBZGA2\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\45EBZGEG\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\4S1NZHYY\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\4SUBZGIY\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\4XBP4OON\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\52GHDEOB\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\52WHDESZ\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\55GHDLAR\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\A34IBRI2\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\CCDDJKIB\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\CLTDJKGH\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\CN4EBRI2\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\GHH0VOYZ\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\HOFAROJK\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\HPVAROPK\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\IYZ5SFU3\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\OFTFSFVG\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\OTFZSFVG\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\PMVNOA1F\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\TFHEVLBX\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\TFXEVLHZ\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\V31C0DA2\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\V3QBWW5A\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\VD1A0CYQ\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\VD1A0D22\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\VFABWX5K\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\VGLA0CK0\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\W3I4RL0P\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\WFABWXLC\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\X4AC0KEW\VERSION,No contiene identificadores DICOM reconocibles.
D:\EAFIT\01-2026\proyecto\datos\paciente 6\Antes\RESONANCIA\CNMY4IRK\Z2R14NMB\VERSION,No contiene identificadores DICOM reconocibles.
