classification,candidate_score,series_number,series_description,protocol_name,sequence_name,modality,manufacturer,manufacturer_model,magnetic_field_strength,mr_acquisition_type,image_type,instance_file_count,total_frame_count,rows,columns,pixel_spacing,slice_thickness,spacing_between_slices,unique_slice_position_count,estimated_volume_count_from_slices,raw_b_value_measurement_count,clustered_b_values,b0_measurement_count,nonzero_b_value_count,unique_nonzero_gradient_direction_count,phase_encoding_direction,diffusion_metadata_sources,classification_reasons,series_uid
DWI_CRUDA_PROBABLE,16,31,t2 difusion axial_30dir,t2 difusion axial_30dir,*ep_b0,MR,SIEMENS,Skyra,3.0,2D,"['ORIGINAL', 'SECONDARY', 'DIFFUSION', 'NONE', 'ND', 'NORM', 'MOSAIC']",33,33,910,912,"[1.69230771065, 1.69230771065]",3.0,3.8999999343304,1,33.0,33,"[0.0, 1000.0]",3,30,30,COL,"[""standard_dicom""]","[""contiene b-values mayores que cero"", ""se detectaron 30 ejes de gradiente no nulos"", ""el nombre/protocolo contiene términos de difusión"", ""se detectaron mediciones b≈0""]",1.2.840.113704.7.32.0.2.19.45286.2025102206560533554292451.0.0.0
MAPA_DERIVADO_DIFUSION,1,33,t2 difusion axial_30dir_TRACEW,t2 difusion axial_30dir,*ep_b1000t,MR,SIEMENS,Skyra,3.0,2D,"['DERIVED', 'SECONDARY', 'DIFFUSION', 'TRACEW', 'ND', 'NORM']",45,45,130,132,"[1.69230771065, 1.69230771065]",3.0,3.9,45,1.0,45,[1000.0],0,45,0,COL,"[""standard_dicom""]","[""contiene b-values mayores que cero"", ""el nombre/protocolo contiene términos de difusión"", ""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.2.19.45286.2025102206560533556492453.0.0.0
MAPA_DERIVADO_DIFUSION,-5,32,t2 difusion axial_30dir_ADC,t2 difusion axial_30dir,*ep_b0_1000,MR,SIEMENS,Skyra,3.0,2D,"['DERIVED', 'SECONDARY', 'DIFFUSION', 'ADC', 'ND', 'NORM']",45,45,130,132,"[1.69230771065, 1.69230771065]",3.0,3.9,45,1.0,0,[],0,0,0,COL,[],"[""el nombre/protocolo contiene términos de difusión"", ""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.2.19.45286.2025102206560533556192452.0.0.0
MAPA_DERIVADO_DIFUSION,-5,34,t2 difusion axial_30dir_FA,t2 difusion axial_30dir,*ep_b0_1000,MR,SIEMENS,Skyra,3.0,2D,"['DERIVED', 'SECONDARY', 'DIFFUSION', 'FA', 'ND', 'NORM']",45,45,130,132,"[1.69230771065, 1.69230771065]",3.0,3.9,45,1.0,0,[],0,0,0,COL,[],"[""el nombre/protocolo contiene términos de difusión"", ""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.2.19.45286.2025102206560533556992455.0.0.0
MAPA_DERIVADO_DIFUSION,-5,35,t2 difusion axial_30dir_ColFA,t2 difusion axial_30dir,,MR,SIEMENS,Skyra,,,"['DERIVED', 'SECONDARY', 'DIFFUSION', 'FA', 'ND', 'NORM']",45,45,130,130,,,,0,,0,[],0,0,0,,[],"[""el nombre/protocolo contiene términos de difusión"", ""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.2.19.45286.2025102206560533557192456.0.0.0
MAPA_DERIVADO_DIFUSION,-5,36,t2 difusion axial_30dir_TENSOR,t2 difusion axial_30dir,,MR,SIEMENS,Skyra,,,"['DERIVED', 'SECONDARY', 'DIFFUSION', 'TENSOR_B0']",45,45,130,132,,,,0,,0,[],0,0,0,,[],"[""el nombre/protocolo contiene términos de difusión"", ""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.2.19.45286.2025102206560533557392457.0.0.0
ANATOMICA_T1_PROBABLE,0,6,t1 spc vol sag,t1 spc vol sag,*tfl3d1_16ns,MR,SIEMENS,Skyra,3.0,3D,"['ORIGINAL', 'SECONDARY', 'M', 'ND', 'NORM']",192,192,256,256,"[1.0546875, 1.0546875]",0.98000001907349,,192,1.0,0,[],0,0,0,ROW,[],[],1.2.840.113704.7.32.0.2.19.45286.2025102206295343243602550.0.0.0
ANATOMICA_T1_PROBABLE,-8,100,<MPR Rango>,t1 spc vol sag,*tfl3d1_16ns,MR,SIEMENS,Skyra,3.0,3D,"['DERIVED', 'SECONDARY', 'MPR', 'CSA MPR', 'CSAPARALLEL', 'M', 'ND', 'NORM'] | ['DERIVED', 'SECONDARY', 'PROJECTION IMAGE', 'CSA MPR', 'CSAPARALLEL', 'M', 'ND', 'NORM']",168,168,256,256,"[1.05468702316, 1.05468702316]",0.98000001907349,,168,1.0,0,[],0,0,0,ROW,[],"[""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.5.2.19.45286.30000025102211495476300000494
ANATOMICA_T1_PROBABLE,-8,101,<MPR Rango[1]>,t1 spc vol sag,*tfl3d1_16ns,MR,SIEMENS,Skyra,3.0,3D,"['DERIVED', 'SECONDARY', 'MPR', 'CSA MPR', 'CSAPARALLEL', 'M', 'ND', 'NORM'] | ['DERIVED', 'SECONDARY', 'PROJECTION IMAGE', 'CSA MPR', 'CSAPARALLEL', 'M', 'ND', 'NORM']",190,190,256,256,"[1.05468702316, 1.05468702316]",0.98000001907349,,190,1.0,0,[],0,0,0,ROW,[],"[""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.0.5.2.19.45286.30000025102211495476300001382
ANATOMICA_T1_PROBABLE,-8,1013,TRACTOGRAFÍA,t1 spc vol sag,,MR,Siemens Healthineers,syngo.via.VB80F,,,"['DERIVED', 'SECONDARY']",57,57,2048,1421,,0.0,,0,,0,[],0,0,0,,[],"[""parece una imagen derivada, no la adquisición cruda""]",1.2.840.113704.7.32.05.8.15.102457.30000025102307455326500000134
